FQDN,IP Address,Ping (ms),Release,Operator Stake,Total Delegated Stake,Delegates Count,Status,Prescribed Epoch Count,Observed Epoch Count,Total Epoch Count,Passed Epoch Count,Failed Epoch Count,Failed Consecutive Epochs,Passed Consecutive Epochs,ISP,Geo Location,Error Message,Process Id,ANS-104 Unbundle Filter,ANS-104 Index Filter,Supported Manifest Versions
frostor.xyz,95.216.65.139,615.4198330000004,32,125543891473,30886655034,0,joined,13,10,57,51,6,0,14,N/A,"Helsinki, FI",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
exnihilio.dnshome.de,79.198.189.174,657.3541660000001,32,125000000000,24774580410,0,joined,25,23,57,54,3,0,20,N/A,"Essen, DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
ariogateway.online,109.123.250.233,800.584625,32,114279438086,34898963166,0,joined,24,18,57,56,1,0,20,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
ariospeedwagon.com,104.21.30.54,430.84704200000033,32,113647215292,30792178436,0,joined,12,5,57,55,2,0,36,N/A,", ",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
ar.p10node.com,152.53.130.237,508.4593340000001,31,113084342261,22766197491,0,joined,31,31,57,53,4,0,14,N/A,", AT",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
liglow.com,138.199.171.50,585.7557499999994,32,111133250000,30132722503,0,joined,24,22,57,56,1,0,20,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
sulapan.com,95.217.89.202,809.1320830000004,32,106811466417,26642830514,0,joined,26,26,57,54,3,0,20,N/A,"Helsinki, FI",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
validatario.xyz,38.242.237.194,566.114458,32,106416252334,13637978671,0,joined,15,13,57,54,3,0,20,N/A,"Düsseldorf, DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
deknow.top,104.21.64.1,499.0284579999998,32,103073515312,334976948009,0,joined,27,21,57,53,4,0,1,N/A,", ",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
love4src.com,95.216.65.139,620.2739590000001,32,102404150482,15931514036,0,joined,15,12,57,56,1,0,20,N/A,"Helsinki, FI",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
weaversnodes.info,141.95.3.94,515.1103749999984,32,92806025154,22071200668,0,joined,20,19,57,55,2,0,29,N/A,", FR",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
arbr.pro,N/A,-1,N/A,91640354237,210118038833,0,joined,24,23,57,48,9,0,1,N/A,N/A,Request failed with status code 503,N/A,[object Object],[object Object],[object Object]
apeweave.com,73.52.114.63,380.2501250000005,29,91303872083,30246057485,0,joined,11,3,57,54,3,0,36,N/A,"Mount Joy, US",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
mrcetin.cfd,116.203.123.46,552.8977499999983,27,91195534158,23277626943,0,joined,16,16,57,55,2,0,55,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
iblis.world,95.216.199.15,631.382834,32,90896890925,35445740242,0,joined,25,23,57,52,5,3,0,N/A,"Helsinki, FI",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
dnsarz.site,104.21.16.1,695.3012909999998,32,90000000000,13898380230,0,joined,17,16,57,52,5,0,20,N/A,", ",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
nodechecker.xyz,38.46.221.243,313.79912499999955,32,89216250000,32243322348,0,joined,22,22,57,56,1,0,20,N/A,"Draper, US",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
arweave.developerdao.com,3.161.4.124,402.4563750000016,29,86151857512,131074485507,0,joined,27,25,57,54,3,0,44,N/A,", US",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
thecoldblooded.store,213.238.180.16,702.8088329999991,32,85000000000,16366695078,0,joined,18,11,57,54,3,0,20,N/A,"Istanbul, TR",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
khang.pro,172.67.162.95,937.374917000001,32,84345205653,34391157560,0,joined,17,12,57,55,2,0,7,N/A,", US",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
openar.dev,65.108.107.172,631.8835409999992,31,82486316468,123673431421,0,joined,8,0,57,57,0,0,57,N/A,"Helsinki, FI",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
nodetester.com,159.69.21.229,560.2689159999973,31,81115526111,41781222219,0,joined,23,22,57,55,2,0,20,N/A,"Nuremberg, DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
mustafakaya.xyz,138.199.163.178,593.2055839999994,32,80874205632,13600103844,0,joined,15,14,57,56,1,0,20,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
ar.satoshispalace.casino,103.173.134.13,908.5985000000001,30,79586658995,172358115354,0,joined,14,5,57,56,1,0,39,N/A,", IN",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
webraizo.online,78.47.158.177,645.3395420000015,29,79562500000,29810142541,0,joined,17,17,57,56,1,0,20,N/A,"Mundelsheim, DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
ar.tinnguyen.xyz,116.103.92.143,896.6917500000018,32,77889750000,35335990208,0,joined,17,16,57,54,3,0,14,N/A,"Bao Loc, VN",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
teoviteovi.org,115.77.187.117,827.8649170000026,32,77112514177,20312867438,0,joined,9,6,57,55,2,0,1,N/A,"Ho Chi Minh City, VN",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
zkarther.site,N/A,-1,N/A,76213107501,9803725262,0,joined,7,0,57,56,1,1,0,N/A,N/A,connect ETIMEDOUT 37.27.250.56:443,N/A,[object Object],[object Object],[object Object]
bambik.online,65.109.5.66,622.0929590000014,30,75000000000,14534075260,0,joined,16,12,57,57,0,0,57,N/A,"Helsinki, FI",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
ar01.fyeo.io,195.178.168.219,565.2770410000085,32,74733241485,120958787228,0,joined,31,30,57,57,0,0,57,N/A,"Stockholm, SE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
ar.perplex.finance,104.21.64.1,385.7446249999921,29,74250415255,62558894136,0,joined,3,0,57,38,19,0,38,N/A,", ",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
sooneraydin.xyz,207.180.192.193,619.1085000000021,32,74229825274,25783857627,0,joined,16,13,57,54,3,0,20,N/A,"Nuremberg, DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
0xknowledge.info,207.244.247.125,277.3004159999982,32,73832500000,10075932365,0,joined,4,0,57,55,2,0,20,N/A,"St Louis, US",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
arnode.asia,94.136.191.183,923.1591659999976,31,73662908166,134338804504,0,joined,33,28,57,56,1,0,31,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
arweave.ph,46.202.164.56,863.2537499999889,27,73543391762,148554878159,0,joined,15,5,57,57,0,0,57,N/A,", UA",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
ario-gateway.nethermind.dev,54.194.163.100,530.6803750000108,27,73540254756,119990250000,0,joined,26,23,57,57,0,0,57,N/A,"Dublin, IE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
defi.ao,172.67.223.54,526.1200000000099,27,73299291598,124254500000,0,joined,21,16,57,56,1,0,56,N/A,", US",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
elessargateway.xyz,65.109.101.187,583.6491250000108,32,72990500000,10744794250,0,joined,14,14,57,54,3,0,16,N/A,"Helsinki, FI",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
canduesed.me,78.47.120.61,591.5216670000082,31,72977500000,13305188535,0,joined,12,9,57,57,0,0,57,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
arlink.xyz,161.97.111.21,564.5705420000013,32,72461567962,118445347333,0,joined,19,17,57,55,2,0,36,N/A,"Nuremberg, DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
moruehoca.store,89.117.74.80,339.544332999998,32,72191000000,15844982240,0,joined,19,19,57,54,3,0,20,N/A,"New York, US",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
